Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,12.28,12.55,12.18,12.54,12.54,3023900
2015-01-02,12.24,12.52,12.08,12.21,12.21,1889300
2015-01-05,11.8,11.83,11.47,11.47,11.47,4897300
2015-01-06,11.29,11.39,10.92,10.98,10.98,4995000
2015-01-07,11.11,11.38,10.95,11.19,11.19,4162900
2015-01-08,11.13,11.34,10.97,11.31,11.31,4704300
2015-01-09,11.2,11.25,10.81,11.12,11.12,3304200
2015-01-12,10.71,10.71,10.46,10.47,10.47,4984700
2015-01-13,10.35,10.68,10.24,10.59,10.59,4494100
2015-01-14,10.48,11.18,10.36,11.04,11.04,4399400
2015-01-15,11.21,11.26,10.45,10.48,10.48,4325700
2015-01-16,10.68,11.15,10.64,11.09,11.09,3370200
2015-01-20,10.63,10.74,10.42,10.5,10.5,4805900
2015-01-21,10.66,10.86,10.58,10.68,10.68,2452500
2015-01-22,10.73,10.8,10.29,10.47,10.47,4522900
2015-01-23,10.29,10.47,10.12,10.16,10.16,4320000
2015-01-26,10.15,10.39,10.05,10.07,10.07,3799100
2015-01-27,10.09,10.43,10.07,10.32,10.32,3038100
2015-01-28,10.11,10.22,9.81,9.85,9.85,6363200
2015-01-29,10.01,10.02,9.66,9.92,9.92,4068700
2015-01-30,9.98,10.88,9.96,10.68,10.68,4828300
2015-02-02,11.1,11.32,10.78,11.27,11.27,5852700
2015-02-03,11.5,12.45,11.47,11.93,11.93,11508400
2015-02-04,11.61,11.62,10.81,11.06,11.06,9186200
2015-02-05,11.19,11.86,11.19,11.59,11.59,7473300
2015-02-06,11.69,12.18,11.64,11.88,11.88,6280700
2015-02-09,12.1,12.38,12.04,12.11,12.11,6448100
2015-02-10,11.98,11.99,11.34,11.51,11.51,6500900
2015-02-11,11.2,11.37,10.87,11.22,11.22,6757300
2015-02-12,11.59,11.77,11.32,11.67,11.67,4922800
2015-02-13,12.07,12.25,11.89,12.01,12.01,4335800
2015-02-17,11.83,12.38,11.55,12.13,12.13,5025900
2015-02-18,11.94,12.13,11.68,11.75,11.75,3985500
2015-02-19,11.17,11.82,11.13,11.62,11.62,4553000
2015-02-20,11.61,11.68,11.32,11.33,11.33,3498900
2015-02-23,11.0,11.27,10.88,10.95,10.95,7466700
2015-02-24,11.15,11.19,10.88,10.9,10.9,3635500
2015-02-25,10.96,11.41,10.76,11.31,11.31,4701900
2015-02-26,11.05,11.16,10.59,10.88,10.88,8002100
2015-02-27,10.95,11.09,10.73,10.95,10.95,4167700
2015-03-02,10.93,11.36,10.87,11.07,11.07,4444500
2015-03-03,11.09,11.3,10.97,11.18,11.18,3907300
2015-03-04,11.34,11.58,11.0,11.53,11.53,5706200
2015-03-05,11.44,11.59,11.26,11.34,11.34,3640600
2015-03-06,11.15,11.24,10.84,11.03,11.03,5440200
2015-03-09,11.0,11.3,10.95,11.1,11.1,2860600
2015-03-10,10.91,11.02,10.67,10.79,10.79,4775500
2015-03-11,10.75,10.75,10.46,10.7,10.7,4881600
2015-03-12,10.69,10.72,10.38,10.44,10.44,2789200
2015-03-13,10.25,10.26,9.92,10.03,10.03,8577500
2015-03-16,9.79,9.81,9.46,9.7,9.7,10329000
2015-03-17,9.49,9.62,9.39,9.44,9.44,8023000
2015-03-18,9.3,10.02,9.24,9.99,9.99,11699800
2015-03-19,9.48,9.75,9.45,9.57,9.57,4828400
2015-03-20,9.9,10.06,9.77,9.79,9.79,6027200
2015-03-23,9.84,10.1,9.83,10.01,10.01,3321800
2015-03-24,10.19,10.2,10.0,10.06,10.06,3066400
2015-03-25,10.22,10.53,10.06,10.42,10.42,5073100
2015-03-26,10.78,11.02,10.63,10.94,10.94,6840100
2015-03-27,10.78,10.8,10.21,10.25,10.25,4471000
2015-03-30,10.31,10.44,10.06,10.27,10.27,3255800
2015-03-31,10.13,10.3,10.02,10.05,10.05,4338100
2015-04-01,10.15,10.74,10.13,10.51,10.51,4141000
2015-04-02,10.36,10.58,10.19,10.51,10.51,4632200
2015-04-06,10.7,11.1,10.61,11.04,11.04,7561200
2015-04-07,10.9,11.56,10.89,11.47,11.47,7305000
2015-04-08,11.22,11.24,10.7,10.81,10.81,5955000
2015-04-09,10.83,11.07,10.76,10.79,10.79,5503400
2015-04-10,10.88,11.06,10.83,11.03,11.03,3462200
2015-04-13,11.23,11.28,10.97,11.08,11.08,4009900
2015-04-14,11.22,11.45,11.17,11.29,11.29,3252900
2015-04-15,11.44,12.05,11.4,11.89,11.89,7638200
2015-04-16,11.89,12.27,11.74,12.08,12.08,6458200
2015-04-17,11.98,12.16,11.8,12.01,12.01,4093700
2015-04-20,11.84,12.23,11.83,12.05,12.05,3875800
2015-04-21,12.0,12.08,11.64,11.76,11.76,3805600
2015-04-22,11.73,11.87,11.62,11.68,11.68,3030100
2015-04-23,11.76,12.17,11.76,11.94,11.94,3640800
2015-04-24,11.84,11.93,11.73,11.91,11.91,1977600
2015-04-27,11.99,12.05,11.72,11.8,11.8,2604400
2015-04-28,11.87,12.04,11.8,11.85,11.85,2320100
2015-04-29,11.86,12.39,11.86,12.19,12.19,4537200
2015-04-30,12.24,12.49,12.17,12.46,12.46,3087800
2015-05-01,12.32,12.41,12.15,12.39,12.39,2339800
2015-05-04,12.3,12.32,12.17,12.29,12.29,2860400
2015-05-05,12.68,12.81,12.62,12.64,12.64,5956100
2015-05-06,12.99,13.17,12.68,12.69,12.69,4691300
2015-05-07,12.66,12.68,12.19,12.27,12.27,4254200
2015-05-08,12.34,12.47,12.1,12.4,12.4,4777000
2015-05-11,12.45,12.51,12.25,12.37,12.37,2023900
2015-05-12,12.45,12.82,12.44,12.63,12.63,3615000
2015-05-13,12.88,12.97,12.54,12.54,12.54,3016600
2015-05-14,12.67,12.73,12.41,12.48,12.48,2655900
2015-05-15,12.23,12.5,12.15,12.48,12.48,2138200
2015-05-18,12.42,12.5,12.28,12.43,12.43,2550100
2015-05-19,12.1,12.13,11.83,11.88,11.88,4377400
2015-05-20,12.01,12.08,11.89,12.02,12.02,3439200
2015-05-21,12.31,12.53,12.27,12.45,12.45,3060200
2015-05-22,12.18,12.34,12.17,12.28,12.28,1737900
2015-05-26,11.97,12.04,11.77,11.92,11.92,3936000
2015-05-27,11.74,11.92,11.71,11.77,11.77,2677100
2015-05-28,11.59,11.82,11.51,11.82,11.82,3129000
2015-05-29,11.84,12.47,11.84,12.35,12.35,5939800
2015-06-01,12.36,12.45,12.15,12.37,12.37,2555100
2015-06-02,12.49,12.67,12.41,12.62,12.62,3189100
2015-06-03,12.46,12.62,12.15,12.25,12.25,3640700
2015-06-04,12.06,12.1,11.83,11.91,11.91,4074000
2015-06-05,11.6,12.14,11.59,12.07,12.07,4046800
2015-06-08,11.93,12.05,11.83,11.92,11.92,2416100
2015-06-09,12.25,12.38,12.21,12.28,12.28,4742700
2015-06-10,12.66,12.68,12.41,12.56,12.56,3565500
2015-06-11,12.56,12.56,12.35,12.45,12.45,1781900
2015-06-12,12.29,12.4,12.25,12.31,12.31,2013700
2015-06-15,12.08,12.26,12.07,12.23,12.23,2017500
2015-06-16,12.23,12.36,12.22,12.31,12.31,2438400
2015-06-17,12.55,12.58,12.05,12.25,12.25,2771700
2015-06-18,12.36,12.43,12.23,12.36,12.36,1552400
2015-06-19,12.15,12.22,12.03,12.15,12.15,2372900
2015-06-22,12.07,12.3,12.03,12.23,12.23,2257600
2015-06-23,12.12,12.52,12.09,12.45,12.45,3525200
2015-06-24,12.38,12.54,12.15,12.26,12.26,2166600
2015-06-25,12.16,12.2,12.06,12.12,12.12,2076700
2015-06-26,11.97,12.19,11.93,12.11,12.11,2767900
2015-06-29,11.83,11.94,11.77,11.79,11.79,3733000
2015-06-30,11.96,12.12,11.88,12.05,12.05,2693400
2015-07-01,11.82,11.82,11.42,11.5,11.5,5162000
2015-07-02,11.54,11.72,11.4,11.41,11.41,2790600
2015-07-06,10.96,10.98,10.47,10.61,10.61,8172100
2015-07-07,10.5,10.7,10.07,10.61,10.61,8841800
2015-07-08,10.53,10.57,10.14,10.35,10.35,4614900
2015-07-09,10.62,10.7,10.45,10.54,10.54,2724900
2015-07-10,10.51,10.64,10.39,10.55,10.55,2785400
2015-07-13,10.37,10.64,10.33,10.44,10.44,2648400
2015-07-14,10.3,10.66,10.29,10.59,10.59,2691300
2015-07-15,10.42,10.56,10.19,10.27,10.27,3178100
2015-07-16,10.35,10.35,10.09,10.11,10.11,2601000
2015-07-17,10.13,10.14,9.95,10.11,10.11,3261800
2015-07-20,10.07,10.08,9.88,9.92,9.92,2564400
2015-07-21,9.99,10.18,9.97,10.05,10.05,2311300
2015-07-22,9.89,9.99,9.65,9.69,9.69,5260200
2015-07-23,9.73,9.79,9.47,9.57,9.57,3850700
2015-07-24,9.58,9.58,9.37,9.48,9.48,2352500
2015-07-27,9.3,9.38,9.2,9.22,9.22,2871000
2015-07-28,9.29,9.51,9.21,9.34,9.34,3266500
2015-07-29,9.33,9.78,9.32,9.6,9.6,4580200
2015-07-30,9.59,9.69,9.48,9.52,9.52,2189800
2015-07-31,9.52,9.54,9.11,9.17,9.17,4225300
2015-08-03,8.97,9.09,8.75,8.83,8.83,5427900
2015-08-04,8.91,9.01,8.83,8.91,8.91,2994200
2015-08-05,8.98,9.12,8.68,8.79,8.79,4566800
2015-08-06,8.64,8.69,8.54,8.68,8.68,3587700
2015-08-07,8.55,8.6,8.43,8.46,8.46,3540900
2015-08-10,8.43,8.74,8.39,8.67,8.67,3543800
2015-08-11,8.38,8.42,8.23,8.4,8.4,5857700
2015-08-12,8.42,8.46,8.25,8.37,8.37,4337500
2015-08-13,8.25,8.26,8.04,8.12,8.12,5969800
2015-08-14,8.16,8.24,8.04,8.05,8.05,3673600
2015-08-17,8.09,8.17,7.96,7.98,7.98,5032600
2015-08-18,8.01,8.2,7.94,8.08,8.08,3124800
2015-08-19,8.05,8.08,7.65,7.66,7.66,8906500
2015-08-20,7.75,7.83,7.59,7.62,7.62,5531500
2015-08-21,7.67,7.74,7.4,7.5,7.5,5548400
2015-08-24,7.05,7.11,6.9,7.01,7.01,11481300
2015-08-25,7.38,7.38,7.14,7.16,7.16,4731200
2015-08-26,7.25,7.33,7.08,7.19,7.19,3523000
2015-08-27,7.39,8.04,7.39,7.98,7.98,9818000
2015-08-28,7.92,8.69,7.9,8.56,8.56,10004200
2015-08-31,8.45,9.36,8.12,9.18,9.18,13339000
2015-09-01,8.88,8.97,8.35,8.47,8.47,9480800
2015-09-02,8.66,8.8,8.02,8.63,8.63,6622800
2015-09-03,8.72,9.16,8.62,8.82,8.82,7939300
2015-09-04,8.73,8.81,8.56,8.62,8.62,3765800
2015-09-08,8.52,8.72,8.28,8.63,8.63,4407700
2015-09-09,8.59,8.63,8.22,8.32,8.32,3400800
2015-09-10,8.37,8.65,8.28,8.53,8.53,4616100
2015-09-11,8.3,8.49,8.2,8.35,8.35,3370900
2015-09-14,8.22,8.27,8.1,8.22,8.22,2981700
2015-09-15,8.31,8.5,8.29,8.43,8.43,2094100
2015-09-16,8.64,8.97,8.61,8.88,8.88,5536400
2015-09-17,8.9,9.01,8.74,8.8,8.8,2666700
2015-09-18,8.54,8.63,8.3,8.49,8.49,4016600
2015-09-21,8.67,8.79,8.55,8.71,8.71,1898100
2015-09-22,8.53,8.68,8.49,8.63,8.63,2250000
2015-09-23,8.73,8.81,8.27,8.37,8.37,4009700
2015-09-24,8.25,8.43,8.22,8.4,8.4,2799000
2015-09-25,8.57,8.65,8.4,8.44,8.44,1990500
2015-09-28,8.31,8.41,8.22,8.29,8.29,1781700
2015-09-29,8.37,8.47,8.31,8.34,8.34,1441300
2015-09-30,8.36,8.5,8.29,8.46,8.46,1825600
2015-10-01,8.75,8.76,8.29,8.41,8.41,2928600
2015-10-02,8.25,8.56,8.19,8.5,8.5,2798400
2015-10-05,8.69,8.74,8.58,8.65,8.65,4441200
2015-10-06,8.75,9.13,8.72,9.1,9.1,7137000
2015-10-07,9.24,9.31,8.9,8.99,8.99,4125000
2015-10-08,9.08,9.41,9.0,9.32,9.32,4391200
2015-10-09,9.36,9.44,9.22,9.3,9.3,2586100
2015-10-12,9.3,9.3,8.78,8.83,8.83,3557600
2015-10-13,8.73,9.04,8.65,8.67,8.67,2722300
2015-10-14,8.67,8.81,8.59,8.74,8.74,1807600
2015-10-15,8.57,8.8,8.5,8.75,8.75,2620800
2015-10-16,8.87,8.9,8.61,8.82,8.82,2948300
2015-10-19,8.64,8.69,8.57,8.65,8.65,2510700
2015-10-20,8.61,8.72,8.52,8.63,8.63,2282100
2015-10-21,8.48,8.6,8.41,8.5,8.5,2279500
2015-10-22,8.6,8.67,8.47,8.51,8.51,1613200
2015-10-23,8.39,8.51,8.33,8.44,8.44,2161400
2015-10-26,8.38,8.38,8.28,8.29,8.29,2322200
2015-10-27,8.1,8.19,8.03,8.17,8.17,2806400
2015-10-28,8.25,8.7,8.22,8.57,8.57,4034100
2015-10-29,8.59,8.67,8.47,8.5,8.5,1716900
