Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,0.022,0.037,0.01,0.037,0.037,0
2015-01-02,0.03,0.03,0.015,0.015,0.015,0
2015-01-05,0.008,0.018,0.003,0.003,0.003,0
2015-01-06,0.023,0.023,0.018,0.02,0.02,0
2015-01-07,0.023,0.025,0.02,0.02,0.02,0
2015-01-08,0.02,0.02,0.015,0.018,0.018,0
2015-01-09,0.015,0.018,0.015,0.015,0.015,0
2015-01-12,0.015,0.015,0.01,0.013,0.013,0
2015-01-13,0.02,0.023,0.02,0.023,0.023,0
2015-01-14,0.025,0.025,0.023,0.025,0.025,0
2015-01-15,0.023,0.025,0.02,0.023,0.023,0
2015-01-16,0.02,0.023,0.015,0.018,0.018,0
2015-01-20,0.015,0.015,0.008,0.008,0.008,0
2015-01-21,0.02,0.023,0.015,0.02,0.02,0
2015-01-22,0.02,0.02,0.013,0.015,0.015,0
2015-01-23,0.015,0.015,0.01,0.013,0.013,0
2015-01-26,0.013,0.015,0.003,0.005,0.005,0
2015-01-27,0.005,0.018,0.005,0.018,0.018,0
2015-01-28,0.015,0.018,0.015,0.015,0.015,0
2015-01-29,0.015,0.015,0.005,0.01,0.01,0
2015-01-30,0.005,0.008,0.003,0.005,0.005,0
2015-02-02,0.005,0.008,0.003,0.005,0.005,0
2015-02-03,0.013,0.018,0.013,0.015,0.015,0
2015-02-04,0.013,0.013,0.005,0.005,0.005,0
2015-02-05,0.005,0.01,0.005,0.008,0.008,0
2015-02-06,0.008,0.02,0.008,0.015,0.015,0
2015-02-09,0.015,0.015,0.003,0.003,0.003,0
2015-02-10,0.005,0.005,0.005,0.005,0.005,0
2015-02-11,0.005,0.01,0.005,0.005,0.005,0
2015-02-12,0.008,0.01,0.008,0.008,0.008,0
2015-02-13,0.005,0.005,0.003,0.005,0.005,0
2015-02-17,0.003,0.008,0.003,0.008,0.008,0
2015-02-18,0.01,0.013,0.01,0.013,0.013,0
2015-02-19,0.01,0.013,0.01,0.013,0.013,0
2015-02-20,0.015,0.015,0.01,0.01,0.01,0
2015-02-23,0.01,0.015,0.01,0.015,0.015,0
2015-02-24,0.015,0.018,0.013,0.018,0.018,0
2015-02-25,0.015,0.018,0.015,0.015,0.015,0
2015-02-26,0.013,0.013,0.01,0.013,0.013,0
2015-02-27,0.01,0.013,0.005,0.008,0.008,0
2015-03-02,0.01,0.01,0.005,0.005,0.005,0
2015-03-03,0.013,0.013,0.013,0.013,0.013,0
2015-03-04,0.013,0.015,0.01,0.01,0.01,0
2015-03-05,0.005,0.005,0.003,0.003,0.003,0
2015-03-06,0.005,0.01,0.003,0.005,0.005,0
2015-03-09,0.005,0.005,0.003,0.005,0.005,0
2015-03-10,0.01,0.01,0.01,0.01,0.01,0
2015-03-11,0.013,0.013,0.01,0.013,0.013,0
2015-03-12,0.015,0.018,0.015,0.018,0.018,0
2015-03-13,0.02,0.023,0.018,0.023,0.023,0
2015-03-16,0.025,0.03,0.023,0.03,0.03,0
2015-03-17,0.035,0.05,0.035,0.048,0.048,0
2015-03-18,0.048,0.048,0.035,0.038,0.038,0
2015-03-19,0.01,0.013,0.008,0.01,0.01,0
2015-03-20,0.005,0.005,0.003,0.003,0.003,0
2015-03-23,0.003,0.005,0.003,0.003,0.003,0
2015-03-24,0.013,0.015,0.013,0.015,0.015,0
2015-03-25,0.015,0.018,0.015,0.018,0.018,0
2015-03-26,0.023,0.03,0.023,0.028,0.028,0
2015-03-27,0.025,0.03,0.02,0.03,0.03,0
2015-03-30,0.028,0.03,0.023,0.023,0.023,0
2015-03-31,0.03,0.035,0.025,0.025,0.025,0
2015-04-01,0.028,0.033,0.025,0.033,0.033,0
2015-04-02,0.015,0.018,0.01,0.01,0.01,0
2015-04-06,0.01,0.01,0.003,0.003,0.003,0
2015-04-07,0.015,0.015,0.015,0.015,0.015,0
2015-04-08,0.015,0.018,0.015,0.018,0.018,0
2015-04-09,0.02,0.02,0.02,0.02,0.02,0
2015-04-10,0.02,0.02,0.013,0.015,0.015,0
2015-04-13,0.015,0.015,0.005,0.005,0.005,0
2015-04-14,0.01,0.01,0.008,0.01,0.01,0
2015-04-15,0.015,0.015,0.015,0.015,0.015,0
2015-04-16,0.01,0.015,0.01,0.01,0.01,0
2015-04-17,0.013,0.013,0.01,0.013,0.013,0
2015-04-20,0.015,0.015,0.013,0.013,0.013,0
2015-04-21,0.02,0.02,0.02,0.02,0.02,0
2015-04-22,0.02,0.02,0.02,0.02,0.02,0
2015-04-23,0.02,0.02,0.015,0.02,0.02,0
2015-04-24,0.015,0.018,0.015,0.015,0.015,0
2015-04-27,0.015,0.018,0.013,0.013,0.013,0
2015-04-28,0.015,0.015,0.013,0.013,0.013,0
2015-04-29,0.008,0.008,0.003,0.003,0.003,0
2015-04-30,0.003,0.005,0.003,0.005,0.005,0
2015-05-01,0.003,0.003,0.003,0.003,0.003,0
2015-05-04,0.005,0.005,0.003,0.003,0.003,0
2015-05-05,0.013,0.013,0.005,0.008,0.008,0
2015-05-06,0.005,0.01,0.005,0.01,0.01,0
2015-05-07,0.01,0.01,0.003,0.005,0.005,0
2015-05-08,0.005,0.005,0.003,0.003,0.003,0
2015-05-11,0.005,0.008,0.005,0.005,0.005,0
2015-05-12,0.013,0.015,0.013,0.013,0.013,0
2015-05-13,0.015,0.015,0.01,0.01,0.01,0
2015-05-14,0.013,0.013,0.01,0.01,0.01,0
2015-05-15,0.01,0.01,0.008,0.01,0.01,0
2015-05-18,0.008,0.008,0.008,0.008,0.008,0
2015-05-19,0.01,0.01,0.01,0.01,0.01,0
2015-05-20,0.013,0.013,0.01,0.013,0.013,0
2015-05-21,0.015,0.015,0.013,0.013,0.013,0
2015-05-22,0.01,0.013,0.01,0.01,0.01,0
2015-05-26,0.01,0.01,0.01,0.01,0.01,0
2015-05-27,0.01,0.013,0.01,0.013,0.013,0
2015-05-28,0.005,0.005,0.003,0.003,0.003,0
2015-05-29,0.003,0.003,0.003,0.003,0.003,0
2015-06-01,0.008,0.008,0.008,0.008,0.008,0
2015-06-02,0.01,0.01,0.01,0.01,0.01,0
2015-06-03,0.01,0.01,0.01,0.01,0.01,0
2015-06-04,0.005,0.005,0.005,0.005,0.005,0
2015-06-05,0.008,0.01,0.005,0.01,0.01,0
2015-06-08,0.013,0.013,0.01,0.01,0.01,0
2015-06-09,0.015,0.015,0.01,0.013,0.013,0
2015-06-10,0.015,0.015,0.013,0.013,0.013,0
2015-06-11,0.013,0.013,0.008,0.008,0.008,0
2015-06-12,0.008,0.008,0.005,0.005,0.005,0
2015-06-15,0.005,0.005,0.003,0.003,0.003,0
2015-06-16,0.008,0.008,0.008,0.008,0.008,0
2015-06-17,0.01,0.01,0.003,0.003,0.003,0
2015-06-18,0.003,0.003,0.003,0.003,0.003,0
2015-06-19,0.003,0.003,0.003,0.003,0.003,0
2015-06-22,0.003,0.003,0.003,0.003,0.003,0
2015-06-23,0.005,0.008,0.005,0.008,0.008,0
2015-06-24,0.005,0.005,0.003,0.005,0.005,0
2015-06-25,0.003,0.005,0.003,0.005,0.005,0
2015-06-26,0.003,0.005,0.003,0.005,0.005,0
2015-06-29,0.005,0.005,0.005,0.005,0.005,0
2015-06-30,0.008,0.01,0.005,0.01,0.01,0
2015-07-01,0.008,0.008,0.003,0.003,0.003,0
2015-07-02,0.013,0.013,0.003,0.003,0.003,0
2015-07-06,0.005,0.008,0.005,0.005,0.005,0
2015-07-07,0.008,0.01,0.008,0.01,0.01,0
2015-07-08,0.01,0.01,0.01,0.01,0.01,0
